group,iv_rmse,iv_mae,price_rmse,price_mae,n,window_id,test_start,test_end,group_type
long,0.0801724574024742,0.055260585952976025,54.00643388340242,39.37798010710041,428,1,2024-01-23,2024-01-29,maturity_bucket
mid,0.10780589097762386,0.06031531483141211,28.125758948273692,17.845617237337944,403,1,2024-01-23,2024-01-29,maturity_bucket
short,0.11277735323633752,0.07106577924069603,19.21226470509657,12.142471883040443,193,1,2024-01-23,2024-01-29,maturity_bucket
ATM,0.048524296628161684,0.03773570242788803,34.46800783006669,24.65228435529664,177,1,2024-01-23,2024-01-29,moneyness_bucket
ITM_call_OTM_put,0.06873739111419865,0.049366489386252745,28.63797493182154,20.913464083088968,313,1,2024-01-23,2024-01-29,moneyness_bucket
OTM_call_ITM_put,0.1223506595203863,0.07405125009504468,46.836132257788925,28.988179245353226,534,1,2024-01-23,2024-01-29,moneyness_bucket
