model,iv_rmse_mean,iv_rmse_std,iv_mae_mean,price_rmse_mean,n_windows
sabr_hagan,0.0772321817328622,,0.05933850603500984,32.38923905086023,1
localvol_quadratic_iv,0.07727068464031277,,0.05967128838180141,32.34783568383479,1
rbergomi_with_rfsv_prior,0.09827341560221753,,0.0602288066976437,39.999760305351764,1
rbergomi_plain,0.09829285530954375,,0.06021803526068476,39.997529352716995,1
bs_flat,0.10631908533416558,,0.06518042273266299,38.562547970092744,1
