date,rv_uz,tick_size,eta,n_observations,annualized_vol
2020-01-02,5.2818931021726464e-06,0.02,0.404,720,3.6483380623888277
2020-01-03,3.3230424411458132e-06,0.02,0.3618925831202046,720,2.8937980150120097
2020-01-06,5.885903084466651e-06,0.02,0.36809045226130654,720,3.851295337007532
2020-01-07,3.919716659885579e-06,0.02,0.35858585858585856,720,3.142878614091174
2020-01-08,4.70193189613082e-06,0.02,0.3407960199004975,720,3.442218525638613
2020-01-09,3.865114122854241e-06,0.02,0.29603729603729606,720,3.120911339591801
2020-01-10,4.630830195053514e-06,0.02,0.36666666666666664,720,3.416093103464081
2020-01-13,3.939136098866813e-06,0.02,0.3614609571788413,720,3.150654371578128
2020-01-14,3.6835093705002605e-06,0.02,0.37757731958762886,720,3.0467102936873824
2020-01-15,4.572400777355581e-06,0.02,0.43232044198895025,720,3.394473443545562
2020-01-16,3.6184922281725316e-06,0.02,0.37084398976982097,720,3.019702040764085
2020-01-17,4.669438463243406e-06,0.02,0.3958333333333333,720,3.4303039118091827
2020-01-20,3.5889268435105785e-06,0.02,0.34711779448621555,720,3.007340294287738
2020-01-21,6.309783746203852e-06,0.02,0.391820580474934,720,3.987562543764512
2020-01-22,8.706065239769336e-06,0.02,0.5965189873417721,720,4.683938983827471
2020-01-23,9.168331691443372e-06,0.02,0.4556786703601108,720,4.806682417472294
2020-02-03,4.274973688207341e-06,0.02,0.44722222222222224,720,3.282214754442875
2020-02-04,8.486007378808769e-06,0.02,0.4222520107238606,720,4.624363588062481
2020-02-05,7.93647823243827e-06,0.02,0.5102639296187683,720,4.472127586031557
2020-02-06,6.031616189210523e-06,0.02,0.3877284595300261,720,3.8986757747741114
2020-02-07,6.8685061676007696e-06,0.02,0.4453551912568306,720,4.16036483284266
2020-02-10,9.806194753635589e-06,0.02,0.41356382978723405,720,4.971077426389744
2020-02-11,6.895846388916557e-06,0.02,0.4772727272727273,720,4.1686368155633
2020-02-12,4.812078449829534e-06,0.02,0.34,720,3.4823035039425307
2020-02-13,8.113029217501477e-06,0.02,0.4452054794520548,720,4.521596358378723
2020-02-14,6.092249988701979e-06,0.02,0.3860103626943005,720,3.9182228077955177
2020-02-17,4.186440260378678e-06,0.02,0.3501259445843829,720,3.2480501006225673
2020-02-18,4.3280980788078375e-06,0.02,0.4868421052631579,720,3.3025455573838416
2020-02-19,4.779269408932041e-06,0.02,0.4699140401146132,720,3.4704119223096193
2020-02-20,7.068192513853042e-06,0.02,0.4148936170212766,720,4.220408171600191
2020-02-21,5.807063669955354e-06,0.02,0.4697406340057637,720,3.8254150687588777
2020-02-24,5.565764328802886e-06,0.02,0.47435897435897434,720,3.7450936047825656
2020-02-25,5.194120023360879e-06,0.02,0.5117647058823529,720,3.61789751912204
2020-02-26,1.2975062808421684e-05,0.02,0.6098726114649682,720,5.718142904582103
2020-02-27,7.4331415218126055e-06,0.02,0.5574018126888217,720,4.327992217526248
2020-02-28,1.1718214914148457e-05,0.02,0.6193548387096774,720,5.4341422123141125
2020-03-02,8.954594997433557e-06,0.02,0.5709876543209876,720,4.750324135628279
2020-03-03,4.923249337864945e-06,0.02,0.5075301204819277,720,3.5222987283050906
2020-03-04,5.3392256060928945e-06,0.02,0.4970501474926254,720,3.668085130876067
2020-03-05,6.695287441861842e-06,0.02,0.5073099415204678,720,4.10756915382953
2020-03-06,6.938362040154689e-06,0.02,0.4886039886039886,720,4.18146772571424
2020-03-09,6.4611397191286106e-06,0.02,0.4409340659340659,720,4.035104966689727
2020-03-10,9.889614058705905e-06,0.02,0.6085526315789473,720,4.9921766222699775
2020-03-11,1.1313393170105456e-05,0.02,0.48148148148148145,720,5.339452292947822
2020-03-12,1.1323246453977126e-05,0.02,0.5391566265060241,720,5.341776957532236
2020-03-13,9.468038918935547e-06,0.02,0.6649659863945578,720,4.884614424467665
2020-03-16,9.089737311133699e-06,0.02,0.40131578947368424,720,4.786035731590073
2020-03-17,2.7054482758114153e-05,0.02,0.85,720,8.256954435531764
2020-03-18,1.1179150895446545e-05,0.02,0.5917721518987342,720,5.3076793664016
2020-03-19,2.0281683542379146e-05,0.02,0.7947761194029851,720,7.149114807218824
2020-03-20,1.0826439629381606e-05,0.02,0.44972067039106145,720,5.223277502300797
2020-03-23,1.2037497010126597e-05,0.02,0.5667701863354038,720,5.507675777087739
2020-03-24,1.3422993495959016e-05,0.02,0.5178571428571429,720,5.81600753178817
2020-03-25,1.1898550518489377e-05,0.02,0.40575916230366493,720,5.475796499742593
2020-03-26,8.745862937189013e-06,0.02,0.562111801242236,720,4.6946325310631405
2020-03-27,6.751968192213178e-06,0.02,0.5429447852760736,720,4.124919374288085
2020-03-30,1.0569250265746559e-05,0.02,0.49271137026239065,720,5.160863364756068
2020-03-31,7.652735071979435e-06,0.02,0.41397849462365593,720,4.391456749347325
2020-04-01,7.838858587640893e-06,0.02,0.4713467048710602,720,4.4445386308204196
2020-04-02,7.761755454527045e-06,0.02,0.5301204819277109,720,4.422626340242656
2020-04-03,7.029014135831792e-06,0.02,0.4753623188405797,721,4.208695239892776
2020-04-07,4.836026668425774e-06,0.02,0.4490084985835694,720,3.490957920747965
2020-04-08,7.647769529400505e-06,0.02,0.31678486997635935,720,4.3900318010339365
2020-04-09,4.877274979036781e-06,0.02,0.29859484777517564,720,3.505814163239787
2020-04-10,7.316921548188241e-06,0.02,0.4423076923076923,720,4.294024021990837
2020-04-13,5.047276205551843e-06,0.02,0.38144329896907214,720,3.566389776509382
2020-04-14,5.4616310350570514e-06,0.02,0.3708010335917313,720,3.7098935575490257
2020-04-15,6.446894372927176e-06,0.02,0.29147465437788017,720,4.03065426696169
2020-04-16,4.166504429634514e-06,0.02,0.48676470588235293,720,3.2403072636216113
2020-04-17,6.08168361853296e-06,0.02,0.40431266846361186,720,3.9148234594554907
2020-04-20,5.892476863534619e-06,0.02,0.3479899497487437,720,3.853445431832043
2020-04-21,5.029143285813125e-06,0.02,0.35858585858585856,720,3.559977679740293
2020-04-22,6.578846221728044e-06,0.02,0.30522565320665085,720,4.071694055151329
2020-04-23,5.411325112799334e-06,0.02,0.41847826086956524,720,3.6927685121402236
2020-04-24,4.538645987033719e-06,0.02,0.391644908616188,720,3.3819207393617274
2020-04-27,6.738192428715274e-06,0.02,0.4209809264305177,719,4.120709273943321
2020-04-28,8.76831846710587e-06,0.02,0.6677966101694915,720,4.700655543337205
2020-04-29,5.698805373811936e-06,0.02,0.38671875,720,3.789589627124035
2020-04-30,5.528634254063075e-06,0.02,0.4135135135135135,720,3.732580651538416
2020-05-06,3.7647002735847515e-06,0.02,0.4535211267605634,720,3.080104655597529
2020-05-07,5.268849166750274e-06,0.02,0.3432098765432099,720,3.6438303885074963
2020-05-08,3.862213771437312e-06,0.02,0.4132791327913279,720,3.1197401661071114
2020-05-11,4.71380545327903e-06,0.02,0.35406091370558374,720,3.4465620177596046
2020-05-12,5.1421222590757635e-06,0.02,0.3894736842105263,720,3.5997427814874388
2020-05-13,4.488998373541787e-06,0.02,0.42162162162162165,720,3.363372697356822
2020-05-14,4.432286153561688e-06,0.02,0.3018867924528302,720,3.342059411048142
2020-05-15,5.758418240923502e-06,0.02,0.35841836734693877,720,3.8093587343708157
2020-05-18,4.117452207268259e-06,0.02,0.40106951871657753,720,3.2211767356536045
2020-05-19,3.83366091165139e-06,0.02,0.32273838630806845,720,3.1081868504582384
2020-05-20,3.6680725061802762e-06,0.02,0.3272058823529412,720,3.040319508797438
2020-05-21,4.213563865373367e-06,0.02,0.3638676844783715,720,3.258555038777293
2020-05-22,4.780455300325792e-06,0.02,0.5290519877675841,720,3.4708424563527798
2020-05-25,5.535191123368705e-06,0.02,0.46131805157593125,720,3.7347933853011384
2020-05-26,5.358906863640179e-06,0.02,0.3300970873786408,720,3.6748394926000847
2020-05-27,4.515217422020263e-06,0.02,0.39501312335958005,720,3.3731806805285514
2020-05-28,4.113200952582578e-06,0.02,0.43232044198895025,720,3.2195133794578488
2020-05-29,4.672252328897904e-06,0.02,0.4658119658119658,720,3.4313373295003684
2020-06-01,4.581212344744189e-06,0.02,0.3733850129198966,720,3.397742648988495
2020-06-02,3.902437644805021e-06,0.02,0.3828125,720,3.135943696068004
2020-06-03,3.7928991352389807e-06,0.02,0.4502840909090909,720,3.091618640906771
2020-06-04,4.230832527075543e-06,0.02,0.40476190476190477,720,3.265225561615977
2020-06-05,4.893985428843152e-06,0.02,0.42587601078167114,720,3.511814812982704
2020-06-08,5.911850873750299e-06,0.02,0.47844827586206895,720,3.859775149131197
2020-06-09,4.996822322777794e-06,0.02,0.3140096618357488,720,3.548519727069309
2020-06-10,5.16566238024507e-06,0.02,0.3460591133004926,720,3.607973004086585
2020-06-11,4.842885145060597e-06,0.02,0.3333333333333333,720,3.493432490481633
2020-06-12,6.799403985166927e-06,0.02,0.33618581907090467,720,4.139383775711146
2020-06-15,6.330793082082115e-06,0.02,0.3432098765432099,720,3.994195609487213
2020-06-16,5.7549695395191775e-06,0.02,0.3483009708737864,720,3.8082178561091182
2020-06-17,4.861992875600246e-06,0.02,0.31353919239904987,720,3.5003174208223777
2020-06-18,3.6048024084025524e-06,0.02,0.37146529562982006,720,3.0139844175400827
2020-06-19,5.867281209142488e-06,0.02,0.4565826330532213,720,3.84519812845048
2020-06-22,6.1493192366514484e-06,0.02,0.3992146596858639,720,3.936532036750324
