trade_date,maturity,strike,option_type,market_price,underlying,r,q,order_book_id,volume,days_to_expiry,S0,api_iv,log_moneyness
2025-03-26,0.9835616438356164,3600.0,put,133.2,3919.3566,0.02,0.0,IO2603P3600,4.0,359,3919.3566,,
2025-03-26,0.9835616438356164,3700.0,call,351.1,3919.3566,0.02,0.0,IO2603C3700,0.0,359,3919.3566,,
2025-03-26,0.9835616438356164,3700.0,put,174.2,3919.3566,0.02,0.0,IO2603P3700,10.0,359,3919.3566,,
2025-03-26,0.9835616438356164,3800.0,call,294.0,3919.3566,0.02,0.0,IO2603C3800,4.0,359,3919.3566,,
2025-03-26,0.9835616438356164,3800.0,put,222.1,3919.3566,0.02,0.0,IO2603P3800,2.0,359,3919.3566,,
2025-03-26,0.9835616438356164,3900.0,call,253.5,3919.3566,0.02,0.0,IO2603C3900,21.0,359,3919.3566,,
2025-03-26,0.9835616438356164,3900.0,put,273.2,3919.3566,0.02,0.0,IO2603P3900,19.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4000.0,call,218.5,3919.3566,0.02,0.0,IO2603C4000,0.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4000.0,put,330.1,3919.3566,0.02,0.0,IO2603P4000,2.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4100.0,call,178.39999999999998,3919.3566,0.02,0.0,IO2603C4100,0.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4100.0,put,395.8,3919.3566,0.02,0.0,IO2603P4100,1.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4200.0,call,153.8,3919.3566,0.02,0.0,IO2603C4200,0.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4200.0,put,464.0,3919.3566,0.02,0.0,IO2603P4200,1.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4300.0,call,123.6,3919.3566,0.02,0.0,IO2603C4300,2.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4300.0,put,538.6,3919.3566,0.02,0.0,IO2603P4300,5.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4400.0,call,104.1,3919.3566,0.02,0.0,IO2603C4400,75.0,359,3919.3566,,
2025-03-26,0.9835616438356164,4400.0,put,617.1,3919.3566,0.02,0.0,IO2603P4400,10.0,359,3919.3566,,
2025-03-27,0.9808219178082191,3500.0,call,482.20000000000005,3932.4117,0.02,0.0,IO2603C3500,5.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3500.0,put,99.80000000000001,3932.4117,0.02,0.0,IO2603P3500,93.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3600.0,call,401.3,3932.4117,0.02,0.0,IO2603C3600,0.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3600.0,put,134.6,3932.4117,0.02,0.0,IO2603P3600,6.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3700.0,call,346.4,3932.4117,0.02,0.0,IO2603C3700,0.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3700.0,put,175.0,3932.4117,0.02,0.0,IO2603P3700,4.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3800.0,call,295.9,3932.4117,0.02,0.0,IO2603C3800,7.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3800.0,put,216.7,3932.4117,0.02,0.0,IO2603P3800,4.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3900.0,call,249.4,3932.4117,0.02,0.0,IO2603C3900,14.0,358,3932.4117,,
2025-03-27,0.9808219178082191,3900.0,put,271.5,3932.4117,0.02,0.0,IO2603P3900,15.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4000.0,call,215.6,3932.4117,0.02,0.0,IO2603C4000,3.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4000.0,put,332.0,3932.4117,0.02,0.0,IO2603P4000,4.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4100.0,call,182.1,3932.4117,0.02,0.0,IO2603C4100,7.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4100.0,put,384.0,3932.4117,0.02,0.0,IO2603P4100,12.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4200.0,call,145.89999999999998,3932.4117,0.02,0.0,IO2603C4200,6.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4200.0,put,467.5,3932.4117,0.02,0.0,IO2603P4200,2.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4300.0,call,122.3,3932.4117,0.02,0.0,IO2603C4300,4.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4300.0,put,540.2,3932.4117,0.02,0.0,IO2603P4300,0.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4400.0,call,102.3,3932.4117,0.02,0.0,IO2603C4400,205.0,358,3932.4117,,
2025-03-27,0.9808219178082191,4400.0,put,595.8,3932.4117,0.02,0.0,IO2603P4400,1.0,358,3932.4117,,
2025-03-28,0.9780821917808219,3500.0,call,463.1,3915.1662,0.02,0.0,IO2603C3500,16.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3500.0,put,99.3,3915.1662,0.02,0.0,IO2603P3500,136.0,357,3915.1662,,
2025-03-28,0.9780821917808219,3600.0,call,403.9,3915.1662,0.02,0.0,IO2603C3600,0.0,357,3915.1662,,
